t,Joint1^Left,Joint2^Left,Joint3^Left,Joint3_2^Left,Joint5_1_1^Left,Joint5_2_1^Left,Joint7^Left,thumb_1_left,thumb_2_left,thumb_3_left,index_1_left,index_2_left,middle_1_left,middle_2_left,ring_1_left,ring_2_left,little_1_left,little_2_left,Joint1^Right,Joint2^Right,Joint3^Right,Joint3_2^Right,Joint5_1_1^Right,Joint5_2_1^Right,Joint7^Right,thumb_1_right,thumb_2_right,thumb_3_right,index_1_right,index_2_right,middle_1_right,middle_2_right,ring_1_right,ring_2_right,little_1_right,little_2_right
0.0,0.4401,0.0,0.0,0.2267,0.0,0.0,0.0,-0.1993,-0.1993,-0.2428,0.0,0.0,-0.4152,-0.4152,-0.4152,-0.4152,-0.4152,-0.4152,0.4401,0.0,0.0,0.2267,0.0,0.0,0.0,-0.3931,-0.1453,-0.3543,0.0,0.0,-0.3432,-0.4346,-0.4152,-0.4152,-0.4152,-0.4152
0.0,0.4446,0.0,0.0,0.229,0.0,0.0,0.0,-0.2013,-0.2013,-0.2452,0.0,0.0,-0.4194,-0.4194,-0.4194,-0.4194,-0.4194,-0.4194,0.4446,0.0,0.0,0.229,0.0,0.0,0.0,-0.3971,-0.1468,-0.3579,0.0,0.0,-0.3467,-0.439,-0.4194,-0.4194,-0.4194,-0.4194
0.0,0.4491,0.0,0.0,0.2313,0.0,0.0,0.0,-0.2034,-0.2034,-0.2477,0.0,0.0,-0.4237,-0.4237,-0.4237,-0.4237,-0.4237,-0.4237,0.4491,0.0,0.0,0.2313,0.0,0.0,0.0,-0.4011,-0.1483,-0.3615,0.0,0.0,-0.3502,-0.4434,-0.4237,-0.4237,-0.4237,-0.4237
0.0,0.4536,0.0,0.0,0.2337,0.0,0.0,0.0,-0.2054,-0.2054,-0.2502,0.0,0.0,-0.4279,-0.4279,-0.4279,-0.4279,-0.4279,-0.4279,0.4536,0.0,0.0,0.2337,0.0,0.0,0.0,-0.4051,-0.1498,-0.3652,0.0,0.0,-0.3538,-0.4479,-0.4279,-0.4279,-0.4279,-0.4279
0.0,0.4581,0.0,0.0,0.236,0.0,0.0,0.0,-0.2075,-0.2075,-0.2527,0.0,0.0,-0.4322,-0.4322,-0.4322,-0.4322,-0.4322,-0.4322,0.4581,0.0,0.0,0.236,0.0,0.0,0.0,-0.4092,-0.1513,-0.3688,0.0,0.0,-0.3573,-0.4524,-0.4322,-0.4322,-0.4322,-0.4322
0.0,0.4627,0.0,0.0,0.2383,0.0,0.0,0.0,-0.2095,-0.2095,-0.2552,0.0,0.0,-0.4365,-0.4365,-0.4365,-0.4365,-0.4365,-0.4365,0.4627,0.0,0.0,0.2383,0.0,0.0,0.0,-0.4132,-0.1528,-0.3725,0.0,0.0,-0.3608,-0.4569,-0.4365,-0.4365,-0.4365,-0.4365
0.0,0.4672,0.0,0.0,0.2407,0.0,0.0,0.0,-0.2116,-0.2116,-0.2577,0.0,0.0,-0.4408,-0.4408,-0.4408,-0.4408,-0.4408,-0.4408,0.4672,0.0,0.0,0.2407,0.0,0.0,0.0,-0.4173,-0.1543,-0.3761,0.0,0.0,-0.3644,-0.4614,-0.4408,-0.4408,-0.4408,-0.4408
0.0,0.4718,0.0,0.0,0.243,0.0,0.0,0.0,-0.2136,-0.2136,-0.2602,0.0,0.0,-0.4451,-0.4451,-0.4451,-0.4451,-0.4451,-0.4451,0.4718,0.0,0.0,0.243,0.0,0.0,0.0,-0.4214,-0.1558,-0.3798,0.0,0.0,-0.3679,-0.4659,-0.4451,-0.4451,-0.4451,-0.4451
0.0,0.4764,0.0,0.0,0.2454,0.0,0.0,0.0,-0.2157,-0.2157,-0.2628,0.0,0.0,-0.4494,-0.4494,-0.4494,-0.4494,-0.4494,-0.4494,0.4764,0.0,0.0,0.2454,0.0,0.0,0.0,-0.4254,-0.1573,-0.3835,0.0,0.0,-0.3715,-0.4704,-0.4494,-0.4494,-0.4494,-0.4494
0.0,0.481,0.0,0.0,0.2477,0.0,0.0,0.0,-0.2178,-0.2178,-0.2653,0.0,0.0,-0.4537,-0.4537,-0.4537,-0.4537,-0.4537,-0.4537,0.481,0.0,0.0,0.2477,0.0,0.0,0.0,-0.4295,-0.1588,-0.3872,0.0,0.0,-0.3751,-0.4749,-0.4537,-0.4537,-0.4537,-0.4537
